tweet_id,text,favorites_count,retweet_count,user_id,followers,friends,account_description
1376440167083376642,"@FUJIN_GAME ありがとうございます😆😆
おっとぉー！？フージンさんはポッキー組ですか！！
ってことは、きのこたけのこ戦争はきのこ派ですかね🧐？？
私はタケノコ派です😉",0,0,1371241477473398787,208,223,#Fortnite Switch enjoy勢(チャプター2シーズン4終わり～)#ばななーず🍌《2021.2.1〜》#任せてほしい🥔🤟 無言フォロー大歓迎😆フォロバ100% ひのまるch↓↓↓モデという名の遊び人
1376440020022611974,"RT @Okay_amazon: 第207弹🌸
／
週末💪新生活応援
 #キャンペーン
＼
💗江崎グリコ ポッキー(極細) 2袋×10個💗
\おいしい・楽しい、シェアハピネス‼️/
▶️抽選で五名様に

【応募】⤵️
@Okay_amazon
をフォロー＆RT

〆切:4日9日…",0,395,472730147,13,631,海外アニメと懐かし漫画が好き
1376439922614136833,コノハ「エネ、ポッキーゲームってなにか知ってる？」エネ「ポッキーゲームっていうのはですね〜。ポッキーを片方ずつくわえあって結果的に…ってどこで聞いたんですかそんなの！」コノハ「カノがやりたいって言ってた」エネ「あー…」,0,0,2489511756,14,7,カゲロウプロジェクトに登場するコノハとエネの非公式半手動botです。 主に会話文を1時間に1回ランダムに呟きます。たまに遥貴ネタも呟いたり。お別れはブロックでお願いします。※当アカウントはCP要素、捏造を含みます。ご注意ください。
1376439896399749122,男同志のポッキーゲーム最高！！！欲望のままにポッキーを好みの男の子たちに配り歩きたい頼むよぉ〜ポッキー食べてよ〜ってねりねり手擦りながらさ〜陰キャだから一生できないししないけど,0,0,1354415702422114306,0,9,人間だから！！！！！！
1376439813172121601,@Tqifn @1 id顔面ゴリラ体ポッキーです,1,0,1203324325496942592,478,273,#りょうちゃむclips きなまるハウスのみんな好き
1376439807899930624,ポッキーよりプリッツ派,0,0,1159344602786062337,65,70,スプラ2￤あつ森🍊￤ポケモン🛡
1376439611983941634,RT @hayate_va: これは、ガチで美味いポッキー https://t.co/XIloooEMer,0,1,1208407198071689223,14,268,俺だよ俺。俺なんだよなぁー。
1376439523639357441,RT @smallp331: アイマス史上初(？)の海外商品とのコラボキャンペーン？台湾の城市一族というポッキー系のメーカーだそうだ！賞品も豪華でオレ氏が爆買宣言します！　https://t.co/i6pEacc8oQ https://t.co/B2cfQr06mF,0,107,1230438969730404353,170,610,"デレ⏩二宮飛鳥担当、ミリ⏩菊地真担当
、シャニ⏩樋口円香担当  1番好きなのは765✌️アイマスと女の子に狂っている。バンドリ、ラブライブ！シリーズ、アイカツ、Fateシリーズなどをすこってます。にじさんじ、ホロライブもちまちま～"
1376439453045039104,"やべぇ、食べすぎた。
ぼけーとしてて気づいたらポテチとポッキーとアイス完食してるんだが。
それでもお腹はすいてるし。。恐ろしいな。。",4,0,1371105677653856260,120,120,めあ。おんなのこ。ふつーの学生。躁鬱。ADHD。HSP。過食症。パニック障害。エロ垢と出会い厨はふぁっきゅ。病み垢っぽいものはフォロバします。ぼかろとゲーム実況者がすきです。おともだちください。DMかもん。
1376439432291622922,RT @smallp331: アイマス史上初(？)の海外商品とのコラボキャンペーン？台湾の城市一族というポッキー系のメーカーだそうだ！賞品も豪華でオレ氏が爆買宣言します！　https://t.co/i6pEacc8oQ https://t.co/B2cfQr06mF,0,107,14185192,215,254,ゲーム業界の端っこで働くおっさんです。秋月律子P。好きなゲームキーワード：エースコンバット、リッジレーサー、FF11、FF14、アイドルマスター、CoD、BF、スプラトゥーン
